dialog,act,emotion
"[|Did you get my email ? |
 | I certainly did . Do you want to come in and give me some feedback about your weekend ? |
 | Sure . | | How did the business trip go ? |
 | Well , to be honest , nothing is more stressful than going on a business trip with our boss . |
 | I understand . The last time I went on a business trip with the boss , I didn't even have enough to eat ! |
 | I also think the company is pretty cheap with travel expenses . I spent half of the weekend on a train ! Surely they could have afforded to buy a few plane tickets ! |
 | Our company is quite conscious of the environmental problems that frequent flying causes . |
 | I see . Well , then perhaps they could give me a few days off after a business trip . It was really tiring for me . |
 | I can ask the boss about giving you the day off today . |
 | Thank you . I can't imagine getting much done today . I'm just too exhausted ! |
 | No problem . Did you bring any gifts back for your department ? |
 | No , should I have ? |]",[2 3 4 2 1 1 1 1 1 3 4 2 2],"[0,0,0,0,0,0,0,0,0,0,4,0,0]"
"[|To which gate do I need to go to catch connecting flight 707 to New York City ? |
 | Go to Gate 56 , the plane is now boarding , you must hurry . |
 | Show me the fastest way to get there . |
 | Instead of walking you can take this shuttle to get you there faster . |
 | Do you think the plane will leave without me ? |
 | No , I will call the attendants at the gate . I'll tell them you are on your way . |
 | Thank you so much , I would really appreciate that . |
 | You're welcome , have a safe trip . |]",[2 1 3 4 2 3 4 1],"[0,0,0,0,0,0,4,4]"
"[|Excuse me , driver , where is the main area for restaurants ? |
 | It's near the Wall Street , a bit far from there . Why not get on the car |
 | OK . Is there a Chinese restaurant ? |
 | Of course . More than that , you have Italy pizza , English steak , kimchi and local specialties . |
 | Woo , I can't help being there . |]",[2 3 2 1 1],"[0,0,0,0,4]"
"[|Well , Miss Li , it's time for us to say good-bye to each other . |
 | Yes , I suppose we must . I have enjoyed all these days that you have spent with me , and I'll always remember them . I've learned a lot from you . Thank you for all your kindness . |
 | I'm glad you could come to see us off . I have enjoyed your interpreting . You have done a wonderful job . I hope you be my interpreter again next time I'm here . |
 | I hope so , too . |
 | It's hard to tear myself away from your friendly people and your ancient country , but nothing lasts for ever . I have to go back home this time , but I'm sure I'll return very soon . |
 | I'm really glad to hear that |
 | Good-bye . Miss Li , say hello to your husband and your son for me . See you soon . |
 | Good-bye , Mr White . A happy journey home , and hope to see you again soon . |]",[3 4 3 4 3 4 1 1],"[0,4,0,0,0,4,4,4]"
"[|Hong , I really need to call back to the UK but I can ’ t afford to pay for the roaming charges . |
 | Well , why don ’ t you use a local SIM card ? | | Can I do that ? |
 | Yes . Just go to the convenience store and ask for a SIM card . Then insert it into your phone . |
 | I see . How much will that cost ? |
 | Well it ’ s 100 RIB for the SIM card then it will cost you about 10 RIB per minute to call the UK . |
 | Wow , that is cheap . Thank you very much . |]",[1 2 3 4 2 1 1],"[0,0,0,0,0,0,4]"
"[|Hello Mary . I haven ’ t seen you for ages . Are you still seeing Paul ? |
 | No . We broke up last month . I ’ m taking a break from dating for a while . |
 | Did you break up amicably ? Sometimes couples row a lot before splitting up . |
 | We just decided to stop seeing each other . It was all very amicable . Are you still going out with mike ? |
 | Yes , I am . We ’ re thinking about getting engaged . We ’ Ve been dating for over a year now . |
 | Good for you ! Have you seen Kelly recently ? Is she still dating nick ? |
 | I havn't seen her for a while.She stopped seeing nick because he was cheating on her.He was seeing a girl form his office.One day , she saw them holding hands and ended the relationship immediately . |
 | She was right to do that . I heard the Neil and Tina getting married soon . |
 | Really ? They ’ Ve been together for a long time . When are they getting married ? |
 | I think it ’ s 26th September . I ’ ll check and make sure that Tina remembers to invite you to the hen night . |
 | Thanks . Hey , look at that guy over there . I think he fancies you . |
 | He certainly looks interested , doesn ’ t he ? Shall we invite him over to our table ? |]",[2 1 2 2 1 2 1 1 2 1 1 3],"[0,0,0,0,4,4,0,0,6,0,4,4]"
"[|We did a survey on your job performance . | | How did I do ? |
 | Not so good . Lots of complains . |
 | Really ? I thought I was doing well . |
 | Your performance so far is not quite in line with what we expect for our executives . I hope I ’ Ve made my point . |]",[1 2 1 1 3],"[0,0,0,6,0]"
"[|I am keen on a coat on www.dingding.com . But it requires having an online banking account . Is it necessary ? |
 | Indeed . Online banking enables you to make on-line shopping . |
 | Do you know how to get the bank account ? |
 | Bring your ID card and fill out a form . That will be fine . |
 | So easy . |
 | I think online banking can change your money habits and it is quicker than ATM processing speed . |
 | My shopping life will be more convenient . |]",[2 1 2 1 1 1 1],"[0,0,0,0,0,0,4]"
"[|Please forgive me for rushing into your room forgetting to knock at the door . |
 | Never mind . | | I'm so sorry to disturb you so early . |
 | It doesn't matter . |
 | I'm dreadfully sorry . I forgot to book the tickets yesterday . |
 | Oh , it's nothing . |
 | I let you down . I'll make it up to you somehow . |
 | Not a bit of it , don't blame yourself . |]",[1 1 1 1 1 1 3 4],"[5,0,5,0,4,0,5,0]"
"[|Hoo , I'm getting tired , Jeanine , been a long day . |
 | I'm not quitting yet . You know my favourite slogan , don't you ? |
 | Yeah , I know . Shop till you drop . | | Right ! |
 | I'm getting a little short on cash . Let's just window shop a little . |
 | Ok . | | Hey , Jeanine , get a load of that . It's beautiful . |
 | Ahahah , and I thought you were tired . |
 | You know .. I have a weakness for long dresses . |
 | It sure looks special , looks expensive too . |
 | Sure does . Hey , can I sponge a little cash of you ? |
 | Don't worry , Marian , I've got you covered . |
 | Thanks , Jeanine , you are a real pal . Let's go in . |]",[1 2 1 1 3 4 3 4 1 1 3 4 3],"[0,0,0,4,0,0,4,4,0,0,0,0,4]"
"[|Hey , what are you doing here ? | | I'm just shopping . |
 | What are you shopping for ? | | Some new clothes . How about you ? |
 | Same here . | | Have you found anything nice yet ? |
 | I found a few pairs of pants . | | Where'd you get those ? |
 | I found them at Pennies . | | Those are really cute . |
 | Do you want me to show you where I found them ? |
 | I would like that . Thank you . |]",[2 1 2 2 1 2 1 2 1 1 3 4],"[0,0,0,0,0,0,0,0,0,4,0,4]"
"[|have you thought of moving at all Sarah ? |
 | we ’ Ve thought about it , but my husband and I can ’ t afford it right now . The only thing we could afford would be living in the slums , which is something I don ’ t want to do . |
 | buying a house can be expensive , but there are ways to find cheaper houses . |
 | like what ? |
 | well , sometimes the city auctions off houses to the community . You ’ d have to make a quick decision about the offer in a day , but you would definitely save money doing it that way . |
 | that ’ s a good idea . Do you know anyone who has done that before ? |
 | sure , my sister-in-law and her husband just bought a house that way . They ’ re pretty satisfied with it . |
 | is the house pretty run-down . |
 | not at all . The woman , who owned it , took good care of it . But when she died , she had no family left and no will , so the government had to sell it for her . |
 | was it very old house ? |
 | it was about 75 years old . There were a few repairs that needed doing , but it didn ’ t take a lot of money or time . |
 | is it in a good location ? |
 | the area can be a bit rough in the evenings , but the neighbors watch out for each other , so it ’ s ok . |]",[2 1 1 2 1 2 1 2 1 2 1 2 1],"[0,0,0,0,0,4,0,0,0,0,0,0,0]"
"[|You look tired . |
 | Yeah , I ’ Ve been working so much overtime lately . |
 | Really ? How come ? |
 | My boss gave me a big project . I had to have it finished it by this morning . It was so difficult ! |
 | You shouldn ’ t work so hard . |
 | I know . But hard work pays off , you know . | | What do you mean ? |
 | Maybe now I ’ ll get that promotion I was hoping for . |]",[1 1 2 1 3 4 2 1],"[0,0,6,0,0,0,0,4]"
"[|Good afternoon , Mr . Anderson . | | Good afternoon , Miss Li . |
 | How nice to see you again ! | | Nice to see you , too . |
 | It's been a long time , hasn't it ? How are you ? |
 | Fine , thank you . And you ? |
 | Very well too , is there anything I can do for you ? |
 | Yes . Could you guide me to where I can change money ? |
 | Sure , Mr . Anderson , please come along with me . | | Thank you . |
 | My pleasure . |]",[1 1 1 1 2 2 2 3 4 1 1],"[0,0,4,4,0,0,0,0,0,0,0]"
"[|Well , I'm glad you're finally back . I was wondering what happened . |
 | I feel kind of stupid . | | Why ? |
 | We got lost coming back . I guess I don't really know this town yet . |
 | You got lost . You're kidding ! |
 | No . We took a wrong turn somewhere.And Joseph doesn't know the town at all . So I started giving him directions.But I didn't really know where we were . So we got seriously lost . |
 | You could have called . |
 | I know I could have . But finally we asked someone where we were . |
 | You've been gone for two hours . How could you get lost for so long ? |
 | Guess where we ended up . | | I don't know . Where ? |
 | When we finally decided to ask someone , they told us we were in Grangerfield . |
 | Grangerfield ! You were in Grangerfield ? That's a completely different town ! How could you drive to a completely different town ? |
 | I don't know.The person we asked had to give us directions to the highway to get back here . |
 | Grangerfield is like a dozen miles away from here . |
 | I know it is . I don't know how it happened . | | Hmm , maybe I do . |
 | What ? | | Maybe I have an idea how it happened . | | How ? |
 | You were too busy looking at Joseph , and you weren't paying attention to the road . |
 | Oh , that's what you think , huh ? |
 | Yes , that's what I think.Maybe the next time you go out with him to buy groceries , you'll get lost for even longer.Maybe six hours or so . |
 | You know what , Trish ? | | What ? | | I hope so . I really hope so . |
 | Hah , hah ! See ? I guessed right . You weren't watching the road at all . |
 | No , I wasn't . It's kind of hard to watch the road when Joseph is behind the wheel . |]",[1 1 2 1 1 1 1 1 2 2 2 1 2 1 1 1 1 2 1 2 1 2 1 2 2 1 1 1],"[0,5,0,5,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0]"
"[|Why did your parents make you stay at home ? |
 | They wanted to go out , and so they made me look after my baby brother . |
 | Didn't you mind doing it ? |
 | No , I didn't . My brother was very good and I did quite a lot of homework . |
 | Didn't you even want to go to the cinema ? |
 | Not really . I watched television for an hour . |
 | What was on television last night ? | | Boxing . It was excellent . |
 | Oh . I enjoy watching boxing on television , too.What a pity I missed it last night ! |
 | What did you do last night ? |
 | I went to a boxing match in the sports stadium . |]",[2 1 2 1 2 1 2 1 1 2 1],"[0,0,0,0,0,0,0,4,5,0,0]"
"[|Hello sir , may I help you ? |
 | Yeah , I accidentally dropped my phone in the toilet . |
 | I see . Well , you have come to the right place . We have over one hundred models of more than twenty leading mobile phone manufacturers . |
 | Sounds good . I don ’ t want it to be too expensive , maybe something mid-range . |
 | We have this new ETC smart phone.It comes with the Android OS so you can download applications . It also has a built-in camera , mp3 player and touch screen . It works on the 3G network so you have fast access to the internet wherever you are . |
 | What about Wi-fi ? |
 | Of course ! You can access the internet from any hotspot as well as from home . |
 | One last thing . Is it waterproof ? |]",[2 3 4 1 1 2 1 2],"[0,0,4,4,0,0,4,0]"
"[|Hello . May I speak to David ? | | Who ? | | David Bush . |
 | There ’ s nobody here by that name . |
 | Sorry , I dialed the wrong number . |]",[3 2 1 1 1],"[0,0,0,0,5]"
"[|We're leaving now . | | Here's your bill . |
 | Right . And would you please forward our mail to this address ? |
 | Certainly . | | Thank you . Goodbye . |
 | Goodbye . Hope to see you again . |]",[3 3 4 1 1 1],"[0,0,0,0,4,4]"
"[|Good afternoon , sir , is there anything I can do for you ? |
 | Yes . I can't find my sweater . I have my laundry sent to you yesterday but when the washing is done . I find my swatter missing . |
 | Well , it's our fault.We are sorry for that.Would you please fill out the form ? We will pay for you . |
 | That's fine . Maybe you should be more careful . |]",[2 1 3 4],"[0,1,0,0]"
"[|I'll have sole , then . | | All right.How about other guests ? |
 | The rest of us will have this today's special , please . | | OK . |
 | I'm sorry but I ordered sole , not the same as the others.Will you change it ? |
 | I'm afraid we have no more sole . |
 | Then , I'll have this pork cute instead . |
 | Certainly.Just a moment , sir . |]",[3 2 1 4 2 1 3 4],"[0,0,0,0,0,0,0,4]"
"[|You will never guess where my family is going for summer vacation . |
 | Let me try . It has to be somewhere amazing , and far away ... Egypt ? |
 | How in the world did you guess that ? Did someone tell you already ? |
 | Yes . I overheard your mom and my mom talking in the grocery store . |
 | I want to ride a camel and definitely see the pyramids ! |
 | I wish our family took outrageous summer vacations like yours . |
 | It helps that my dad is an archaeologist . |
 | We'll get to go fishing at the river . I hate fish . |]",[1 2 2 1 1 1 1 1],"[0,0,6,0,4,0,0,5]"
"[|I would appreciate it if you could go to the store for me . |
 | No problem . What do you want me to get ? |
 | Here's a list with a few things that I need you to get . |
 | Did you forget to put anything on the list ? |
 | I don't think I forgot anything . |
 | Would you like me to go anywhere else for you ? |
 | If you don't mind , I would appreciate it if you would pick up my prescription . |
 | Has your prescription been filled yet ? |
 | Someone at the pharmacy called and told me it was ready . |
 | Sure , I'll go get it for you . | | Thank you . |
 | Anything for you . |]",[3 2 1 2 1 2 1 2 1 4 1 1],"[0,0,0,0,0,0,0,0,0,4,4,4]"
"[|Hello . I would like to make a reservation at 8: 00 . |
 | OK , sir . How many are coming ? |
 | 4 . By the way , what's your dress code ? |
 | We require a jacket and tie . | | I see . Thank you . |]",[3 2 2 1 1],"[0,0,0,0,4]"
"[|From reviewing your resume I can see that you have ample experience for this position.What I want to know is why you think you ’ re right for the job . |
 | Well I ’ m impressed with what the company has done in the past and I think by hiring me the company ’ s future can only be brighter . I find that my personal goals and ideas about business operation |
 | So you ’ Ve acquainted yourself with the company . It ’ s refreshing to interview someone who ’ s sure of what they want . |
 | Yes , I believe that it ’ s crucial for me to know if a company is right for me , not just if I ’ m right for the company . I ’ Ve only been impressed by what I ’ Ve read and heard and I see myself having |
 | Commitment to the company and the team is very important to us here . |
 | Well I ’ m definitely a team player as well as being highly self-motivated . I believe this company can fulfill my long-term goals and offer me great upward mobility . Therefore you will find in me |]",[3 1 1 1 1 1],"[0,0,4,0,0,0]"
"[|Excuse me ? Do you have anything for a carsickness ? |
 | Yes , but you look fine . |
 | Oh , it's for my brother . The little boy over there . He is getting a carsickness . |
 | Poor boy ! But don't worry . Here are two pills made in Germany . It's really effective . He will be just fine . |
 | Thank you so much . | | Take some with you next time , just in case . |
 | Sorry to interrupt , but my brother is still sleeping . |
 | You mean the boy who felt carsick just now ? |
 | Yes . It's so strange that he slept all the time after taking the pills . |
 | Oh , sorry , maybe I gave you the wrong medicine . | | What ? |
 | It's just sleeping pills made in America which is also very good . But don't worry . It has no undesirable side-effects . |
 | I see . |]",[3 4 1 1 1 1 1 2 1 1 2 1 1],"[0,0,0,0,0,0,0,0,0,0,6,0,0]"
"[|What do you think about half day kindergarten for Stacey ? |
 | We could try it for the first few weeks and see if she likes it . |
 | I just think it will be a little difficult for her to be away from home for so long right off the bat . |
 | You have a good point . She hasn't really ever been away from home for longer than a few hours . |
 | I think she is really going to like her teacher though . |
 | Yes , they seemed to click at the meeting the other day . |
 | Did you happen to notice if she was interested in any of the other kids ? |
 | No , but I did notice that she was very interested in the art supplies ! |]",[2 3 4 1 1 1 2 1],"[0,0,0,0,0,0,0,4]"
"[|I need to buy a bus pass . |
 | What kind of bus pass would you like to buy ? |
 | What are the different kinds ? |
 | You can get a day , weekly , monthly , or student pass . |
 | Could I get a student pass , please ? |
 | Sure , can I see your student ID ? | | Sure , here it is . |
 | Very good . | | How much for the pass ? |
 | It's free , but the monthly sticker is $ 24 . |
 | Okay , I'll take it . | | Thank you for your purchase . |
 | You are welcome . |]",[3 2 2 1 3 3 4 4 2 1 3 4 1],"[0,0,0,0,0,0,0,4,0,0,0,4,4]"
"[|I really want to make a salad . |
 | Do you know what kind of salad that you want ? |
 | I'm not sure what kind that I want . |
 | I usually make a Caesar salad . | | Those taste really good . |
 | Which kind of salad are you going to make ? |
 | I want a chicken salad . | | I enjoy chicken salads . |
 | I like salads with croutons , almonds , and shredded cheese . |
 | I really like how that sounds . |
 | Why don't you make a salad like that ? |
 | I'm going to do that then . |]",[1 2 1 1 1 2 1 1 1 1 3 4],"[0,0,0,0,4,0,0,4,0,4,0,0]"
"[|Excuse me . Could you tell me the way to the Star Hotel ? |
 | Yes . Go down the main road . You can't miss it . |
 | How long will it take me to get there ? |
 | It's only about a five-minute walk . | | Thank you very much . |
 | You're welcome . |]",[3 4 2 1 1 1],"[0,0,0,0,4,4]"
"[|I need a haircut . | | Do you have an appointment ? |
 | No , I don't . You look pretty busy today . Do you have an opening for me ? |
 | Yes , we do . I can cut your hair right now if you like.Do you need a shampoo too , or just a haircut ? |
 | Just a haircut . I washed my hair this morning . |
 | Alright . I will have an assistant wet your hair . Then I can cut it.Please step over there.How would you like your hair cut today ? |
 | Well , I last had a haircut eight weeks ago . So my hair is pretty long.But I want the same style . |
 | I recommend you leave it a little long on top.But we should take in the back and sides a bit more . That's more fashionable now . |
 | Alright . You are the expert . I'm happy to have your recommendation . |
 | So I will cut the sides just above the ear . Is that good ? |
 | Fine . | | And do you usually part your hair along here ? | | Yes . |
 | Alright , I know just what to do.Your hair seems quite dry , you know . And I see some split ends . |
 | Yes , I know my hair is quite thin.It runs in my family . Everybody has very thin hair . |
 | The problem is the split ends . They make your hair look even more frizzy . |
 | I don't know what to do about it . |
 | Well , there are two things you can do.First , don't blow-dry your hair for so long after you shower . Let it dry naturally.That is easier on the hair , so you won't get split ends.Second , buy a g |
 | Do you sell conditioner here ? |
 | Of course . I have one I can suggest . |
 | Great . I would be happy to try it . I know my hair doesn't look good now . It's too weak . |
 | The problem is the split ends . |]",[3 2 2 2 1 2 1 3 4 2 1 2 1 1 1 1 1 1 2 3 4 1],"[0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0]"
"[|Do you have desserts ? |
 | Yes , we have many kinds of pies and puddings . |
 | Can you give us more information ? |
 | Sure . We have lemon pies , apple pies , coffee rum pies and ice cream . |
 | I would like to have the coffee rum pies . |]",[2 1 3 4 1],"[0,0,0,4,0]"
"[|Can you help me pick out a gift for my niece ? |
 | Most normal little girls go wild over Barbie dolls . |
 | That sounds good . Let me see one . |
 | Here's the latest model — Digital Barbie . |
 | Oh , she's nice . How much is she ? | | Why , she's only $ 29.95 . |
 | Well , that's reasonable . I'll take it . |
 | Excellent . Would you like anything else ? | | No , thank you . |
 | The total will be $ 32.42 . Will that be cash ? |
 | Oh , cash will be fine . |
 | Here's your change . Thank you for shopping with us . |]",[3 4 3 4 2 1 3 2 1 2 1 1],"[0,0,4,0,0,0,0,4,4,0,0,4]"
"[|Come in , please . | | Good afternoon , Mrs Smith . |
 | Good afternoon . Have a seat , please . You are Mr . Sun ? |
 | Thank you . Yes , I am Dunlin . |
 | I have read your resume . I know you have worked for 3 years . Why did you choose to major in mechanical engineering ? |
 | Many factors led me to major in mechanical engineering . The most important factor is I like tinkering with machines . |
 | What are you primarily interested in about mechanical engineering ? |
 | I like designing products , and one of my designs received an award . Moreover , I am familiar with CAD . But I can do any mechanic well if I am employed . |
 | Why did you decide to apply for this position ? |
 | Your company has a very good reputation , and I am very interested in the field your company is in . |
 | What do you think determines an employee's progress in a company such as ours ? |
 | Interpersonal and technical skills . |
 | We have several applicants for this position . Why do you think you are the person we should choose ? |
 | I have the abilities , qualities and experience that you requested in your job advert , for example I have three years experience in designing products and I got leadership experience while serving the college student union as president . |
 | That sounds very good . How do you see your career development ? |
 | After a few years of gaining experience in the company and furthering my professional qualifications I'd like to put my experience and skills to use in management . I want to become a supervisor in your R & D department . |
 | Have you anything to ask about the job ? |
 | Yes . Do you offer any opportunities for further study ? |
 | Yes . If you undertake additional courses , provided these are approved , and you complete them successfully , you can claim back part , quite a large part , 75 % of the costs you incurred . Not just the fees , - traveling and other expenses too . |
 | That's fine . | | Anything else ? | | No . |
 | Well , thank you very much , Mr . Sun . I'll let you know the result of the interview as soon as possible . Goodbye . |
 | Thank you , Mrs . Smith . I do hope the answer will be favorable . Goodbye . |]",[3 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 2 1 1 2 1 3 4],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4]"
"[|Give these sales figures a look . It's pretty depressing . We're way in the red this year . We can't afford to keep going like this for much longer . |
 | You're right , we need to start making money soon , or at least manage to break even . But I think that the market is slowly beginning to heat up--sales are bound to pick up any time now . |
 | Deman is dropping . The problem is our competition . They are monopolizing the market ! |
 | Maybe we should rethink our marketing strategy to include the possibility that our new line of cosmetics could be a big seller . |
 | It's really too early to tell , but a lot is riding on the new products . If we don't do better after the product launch , we may have to go bankrupt . |
 | Do you think it's that serious ? |
 | Look at this numbers and see for yourself . Read'sm and weep . |
 | My goodness , I didn't realize it was that bad . |]",[3 3 1 3 1 2 1 1],"[0,0,0,0,0,0,0,6]"
"[|Mary , set your alarm clock for seven tomorrow morning . | | Why ? |
 | I'm going to take you to your school to register for classes . |
 | That's right . I haven't done that yet . |
 | You can choose classes that you like at the school office . |
 | Really ? | | Well , there are core courses and electives . |
 | What do they mean ? |
 | Core courses are ones that you must take . Elective courses are ones that you get to choose for yourself . |]",[3 2 1 1 1 2 1 2 1],"[0,0,0,0,0,6,0,0,0]"
"[|Can I help you , madam ? | | Yes , I'm looking for a new winter coat . |
 | Have you any particular color in mind ? |
 | I don't know really . What's the fashional color this year ? |
 | Red is very popular . |
 | Good . Red suits me very well . It's a cheerful color , isn't it ? |
 | Yes , madam , I agree . What size are you ? |
 | Well , I used to be size fourteen , but I've put on a bit of weight recently , so may be sixteen . |
 | Here you are , madam . All these are sixteens . |
 | I quite like this one . How much is it ? | | It's $ 180 . |
 | Oh , that's too expensive . Aren't there any cheaper ones ? |
 | These are our cheapest coats , madam . |
 | Yes , I see . I'll take it . Here's $ 200 . | | Here's your change . |
 | Thank you . |]",[2 3 2 2 1 2 2 1 1 2 1 2 1 3 4 1],"[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4]"
"[|I'm afraid I have to return this sweater . |
 | May I ask if there's anything wrong with it ? |
 | You see , there is a run at the neck . |
 | Oh , sorry.But do you want to change it for another one ? |
 | No , thank you . |]",[3 3 4 2 1],"[5,0,0,0,0]"
"[|Hello . I need to disconnect my phone , please . |
 | All right . Where do you live , sir ? |
 | At 345 Lincoln Avenue . Oklahoma City . |
 | Very well . Why do you want to disconnect your phone , sir ? |
 | I ’ m moving to a new home . |
 | O . K . May I have your name please ? | | John Smith . |
 | Thank you . Mr . Smith . What ’ s your telephone number ? |
 | 555-7658 | | Thank you . Where should I send your final phone bill ? |
 | 623 West Side Drive . New York , New York . |
 | Thank you , Mr . Smith . Your phone will be disconnected after this phone call . Have a nice day . |
 | Thank you , you too . |]",[3 2 1 2 1 3 4 2 1 2 1 1 1],"[0,0,0,0,0,0,0,0,0,4,0,4,4]"
"[|Welcome aboard . | | Excuse me , Miss . Can you show me my seat ? |
 | Let me have a look at your boarding pass . It's E - 6 , the sixth seat by the aisle . |
 | Thanks a lot . |]",[1 3 3 4],"[0,0,0,4]"
"[|Okay , I want to change 22,000 . |
 | Could you please fill out this form ? |
 | Okay , here you are . ( She hands the completed form and the money to the clerk . ) |
 | Here's your $ 200 . | | Thank you very much . | | Thank you . |]",[3 3 4 3 1 1],"[0,0,0,0,4,0]"
"[|What are you looking for ? |
 | I lost one of my contact lenses , and I ’ m searching high and low for it . |
 | Where did you lose it ? Maybe I can help you to find it . |
 | Thank you very much . I think I lost it near the window . |]",[2 1 2 1],"[0,0,0,4]"
"[|It ’ s freezing in here ! Can I turn up the heat ? |
 | Don ’ t touch that thermostat ! You don ’ t pay the bills around here ! |
 | Dad ! Are you serious ? What ’ s the point of having central heating if we can ’ t use it ! Look , I can see my breath ! |
 | Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly . |
 | Dad ! I ’ m gonna catch a cold ! |
 | When I was your age , my parents didn ’ t have central heating like you do ! We had a furnace in the center of the living room and that was it . We used it to cook , heat the house and even dry our clothes ! We never caught a cold . You should be grateful ! |]",[3 3 2 3 4 1],"[0,1,6,1,1,1]"
"[|May I have your order now ? |
 | Yes , we'd have your regular dinner . What courses are there , please ? |
 | The courses for our regular dinner are , appetizer , soup , beef steak , dessert and coffee . |
 | All right , we'll have it . | | What kind of dessert do you want ? |
 | Do you have some chocolate cakes ? | | Yes , we have . |
 | OK , we will choose it . |
 | Wait for a moment , I'll come back soon . |]",[3 2 1 1 2 2 1 1 1],"[0,0,0,0,0,0,4,4,4]"
"[|Is everything ready for the big family barbecue tomorrow ? |
 | Yep . The steaks and chicken are marinated and I also bought hamburger buns . |
 | We should also cook a couple dozen hot dogs and kebabs . |
 | Yeah , good idea.We can put some lawn furniture outside next to the grill . I also set up the tent outside so we can hide from the sun if it gets too hot . |
 | Great ! I asked Grace to bring cups and serviettes as she is also bringing two big coolers for the beers . |
 | This is gonna be a great barbecue ! |]",[2 1 3 3 4 1],"[0,0,0,4,4,4]"
"[|Welcome to the International Business Department . How can I help you ? |
 | Hello . I'm Ms Dawson from Lexington Software . I need to send these documents to Vietnam via L / C . |
 | No problem , I can do that for you right now . Have you checked the documents ? |
 | I have , but I have never done this before so would it be possible for you to double check them ? |
 | Of course , that's all part of the service . |
 | Thank you . I don't think there should be any problems , but just to be sure ... |
 | Don't worry ; I'm sure it will be fine . If I do have any queries I'll call you , OK ? |
 | That's fine . Thank you again . |]",[2 3 2 3 4 1 3 4],"[0,0,0,0,0,0,0,4]"
"[|Thomas , could you do me a favor ? | | What's up ? |
 | Could you pick up Mrs . David from Ford Company at the Capital Airport ? |
 | Why don't you go ? |
 | I'm supposed to do it , but the general manager called me last night . He said he couldn ’ t come back to Beijing as scheduled , so he asked me to attend the meeting for him . |
 | I see . I'll do it for you . |
 | Thanks a lot . It ’ s very kind of you . |]",[3 2 3 3 3 4 1],"[0,0,0,0,0,0,4]"
"[|Reservation Center , Air China . Can I help you ? |
 | Yes . I'm coming to confirm my ticket . |
 | May I have your name , please ? |
 | My name is Zu Ping . In fact , I have a reservation on Flight No . 125 for Zhenjiang , leaving Beijing at 2:00 p . m . tomorrow . Now I'd like to make a change of my travel schedule . Is it possible to change my booking to the day after tomorrow ? |
 | Certainly . |
 | Do you have a seat available on the same flight the day after tomorrow ? |
 | Yes . You are reconfirmed on Flight No . 125 for Zhenjiang , leaving Beijing at 2:00 p . m . on January 15th . |
 | Thanks a lot . | | You are welcome . |]",[2 1 2 3 4 2 1 1 1],"[0,0,0,0,0,0,0,4,4]"
"[|Excuse me . Do you know where I can find a pay phone ? |
 | There is one around the corner . |
 | Can I make an international call from that pay phone ? |
 | Yes , but you have to get a phone card first . |
 | Where can I get a phone card ? |
 | You can get one in the grocery store over there . |
 | Oh , I see it . Thank you . |]",[2 1 3 4 2 1 1],"[0,0,0,0,0,0,4]"
"[|Gross ! What are you doing to yourself ? |
 | Chill ! I'm just curling my eyelashes . |
 | It looks like some kind of primitive form of torture . |
 | You're such a wimp ! You're afraid of an eyelash curler . |
 | Well , you might pinch your eyelid ! Or lose an eyeball ! |
 | It just makes my eyelashes curl upwards . | | What for ? |]",[2 1 1 1 1 1 2],"[2,0,2,1,1,0,0]"
"[|Have you bought War Craft 2 yet ? |
 | Yeah ! I bought it the day it was released . | | How do you like it ? |
 | It's a great game . There are a lot of new characters . |
 | Did it cost very much |
 | It cost about thirty . Most games cost about that much . |
 | Mechwarrior is such a good game . The graphics are awesome ! |
 | Oh , I know what you mean . I'm addicted to that game . |
 | My roommate always wants to play it . But I told her to buy her own game . |
 | Yeah , my roommate likes to watch me play . He says it's like watching a movie . |
 | I've never seen such good graphics . |
 | And I've never heard such good sound in a game . |]",[2 1 2 1 2 1 1 1 1 1 1 1],"[0,4,0,0,0,0,4,4,0,0,4,4]"
"[|Do you think it's time to sign the contract , Mr . Simpson ? |
 | I'd like to look it over before I sign it . |
 | OK , no problem . I hope there are no questions about the terms . |
 | I am fully satisfied with the terms of this contract . |
 | Shall we sign this contract now ? |
 | OK . Where do you want me to sign ? | | Just sign at the bottom . |
 | OK . ( Sign ) Once a contract is signed , it has legal effect . |
 | You're right . Thank you for your cooperation . |
 | It's my pleasure . |]",[2 3 4 1 3 2 3 4 1 1],"[0,0,0,0,0,0,0,0,4,4]"
